kind	id	family	support	strategy	trim	conditions
curve	9642	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9868	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9871	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9905	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9921	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9924	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	9958	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	10152	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	10153	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	10909	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	10911	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	10913	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
curve	10915	ellipse	deferred_residual_surface	reason.deferred_residual_surface	-	
face	1	plane	supported_analytic_template	strategy.surface.plane	convex_simple_region	cutout.filleted_slot_deferred
face	2	plane	supported_analytic_template	strategy.surface.plane	multiple_disconnected_domains	reason.multidomain_decomposition_unproven;cutout.filleted_slot_deferred
face	3	plane	supported_analytic_template	strategy.surface.plane	multiple_disconnected_domains	reason.multidomain_decomposition_unproven;cutout.filleted_slot_deferred
face	4	plane	supported_analytic_template	strategy.surface.plane	multiple_disconnected_domains	reason.multidomain_decomposition_unproven;cutout.filleted_slot_deferred
face	5	plane	supported_analytic_template	strategy.surface.plane	multiple_disconnected_domains	reason.multidomain_decomposition_unproven;cutout.filleted_slot_deferred
face	6	plane	supported_analytic_template	strategy.surface.plane	multiple_disconnected_domains	reason.multidomain_decomposition_unproven;cutout.filleted_slot_deferred
face	7	plane	supported_analytic_template	strategy.surface.plane	multiple_disconnected_domains	reason.multidomain_decomposition_unproven;cutout.filleted_slot_deferred
face	8	plane	supported_analytic_template	strategy.surface.plane	multiple_disconnected_domains	reason.multidomain_decomposition_unproven;cutout.filleted_slot_deferred
face	9	plane	supported_analytic_template	strategy.surface.plane	multiple_disconnected_domains	reason.multidomain_decomposition_unproven;cutout.filleted_slot_deferred
